,sehir,ilce,akp,mhp,bbp,yrefah,chp,iyip,ysp,tip,zafer,memleket,rte,kk,so,mi,akp_2018,mhp_2018,chp_2018,iyip_2018,sp_2018,hdp_2018,vp_2018,hudapar_2018,rte_2018,mi_2018,ma_2018,sd_2018,tk_2018,dp_2018,secmen_sayisi_2023,gecerli_oy_sayisi_2023,katilim_orani_2023,secmen_sayisi_2018,gecerli_oy_sayisi_2018,katilim_orani_2018
803,sakarya,SAPANCA,43.02,9.67,1.21,6.28,23.36,9.59,2.02,0.75,2.19,0.83,60.4,33.5,5.9,0.3,53.55,12.98,18.53,8.55,2.81,3.35,0.16,0.07,65.0,24.9,5.9,2.2,1.8,0.2,32977.0,29991.0,92.4,29607.0,26637.0,91.9
804,sakarya,SERDİVAN,38.06,11.34,0.9,4.85,21.25,15.57,1.47,0.86,3.18,1.17,54.1,37.3,8.3,0.4,51.11,13.4,17.32,12.29,2.45,3.19,0.15,0.09,62.4,25.8,8.5,1.7,1.5,0.2,108280.0,97438.0,91.2,89673.0,78834.0,89.6
805,sakarya,SÖĞÜTLÜ,49.56,8.93,0.87,3.57,18.08,12.24,0.49,0.37,2.48,1.03,62.9,29.5,7.1,0.5,59.26,10.33,17.62,10.55,1.25,0.59,0.22,0.2,67.4,22.8,8.5,0.2,0.9,0.2,11817.0,10712.0,92.5,10882.0,9665.0,91.2
806,sakarya,TARAKLI,56.71,16.91,0.78,3.88,10.95,6.8,0.12,0.1,1.39,0.65,76.8,17.2,5.4,0.6,65.18,14.01,8.4,8.96,2.54,0.28,0.36,0.26,77.8,11.6,8.4,0.2,1.7,0.2,5338.0,4887.0,94.1,5195.0,4655.0,92.9
807,samsun,ALAÇAM,42.05,15.49,0.72,2.47,20.19,13.72,0.34,0.46,1.6,0.96,61.5,33.5,4.4,0.7,47.71,14.64,20.32,14.02,0.93,1.46,0.49,0.38,59.4,25.9,13.1,0.5,0.7,0.4,20284.0,17321.0,88.8,20159.0,17022.0,88.4
808,samsun,ASARCIK,53.11,23.47,2.55,4.19,6.07,6.85,0.04,0.22,1.34,0.63,83.7,12.2,3.6,0.5,59.31,28.9,4.83,5.35,0.93,0.17,0.16,0.32,86.2,7.3,5.3,0.2,0.8,0.2,11803.0,9798.0,85.6,11831.0,10410.0,90.5
809,samsun,ATAKUM,28.91,10.08,0.9,2.87,33.08,16.63,0.55,1.34,3.11,1.36,42.0,50.1,7.6,0.3,37.13,14.15,28.66,15.14,1.61,3.03,0.17,0.07,48.9,38.6,10.7,0.5,1.1,0.2,170898.0,152576.0,90.5,132649.0,114851.0,88.2
810,samsun,AYVACIK,59.49,10.91,10.35,3.78,5.89,5.97,0.06,0.09,1.2,0.74,84.0,11.9,3.4,0.6,65.54,22.34,5.31,5.59,0.59,0.13,0.21,0.21,86.1,7.8,5.3,0.1,0.4,0.2,14725.0,12526.0,87.3,14476.0,12599.0,89.6
811,samsun,BAFRA,42.81,16.08,3.16,2.97,15.81,13.66,0.22,0.37,2.19,1.24,64.3,28.7,6.4,0.6,51.57,17.97,13.78,14.14,1.2,0.88,0.24,0.21,66.8,20.2,11.8,0.3,0.8,0.2,111410.0,96948.0,88.9,108815.0,92626.0,87.8
812,samsun,CANİK,49.8,14.34,1.16,5.01,13.78,10.1,0.23,0.48,2.3,1.28,70.1,23.1,6.3,0.5,59.05,18.14,11.79,8.67,1.42,0.64,0.16,0.12,75.6,16.1,6.9,0.2,0.9,0.2,73136.0,63808.0,88.9,69450.0,60492.0,89.4
813,samsun,ÇARŞAMBA,51.22,13.8,1.85,6.66,11.47,10.23,0.13,0.3,1.87,0.9,73.5,20.4,5.6,0.5,62.02,15.39,11.39,8.35,1.35,0.6,0.21,0.17,76.8,15.0,6.9,0.2,0.9,0.2,106190.0,91940.0,88.8,101695.0,86537.0,87.8
814,samsun,HAVZA,42.1,23.64,0.75,2.41,17.0,10.33,0.25,0.41,1.21,0.46,69.0,26.0,4.4,0.5,48.5,24.44,17.76,6.15,1.29,1.39,0.25,0.19,70.3,21.9,6.3,0.3,1.0,0.2,30276.0,26562.0,90.0,30219.0,26120.0,89.4
815,samsun,İLKADIM,37.81,12.56,0.98,4.02,24.05,14.13,0.36,0.83,2.64,1.25,54.7,38.0,7.0,0.4,44.92,17.4,21.78,12.2,1.62,1.76,0.16,0.1,59.9,29.2,9.3,0.3,1.1,0.2,245376.0,214993.0,89.2,240646.0,206604.0,87.8
816,samsun,KAVAK,43.94,20.87,0.96,4.05,13.76,11.71,0.22,0.23,1.81,0.82,68.6,24.8,5.9,0.7,54.62,20.61,11.36,10.84,1.18,0.48,0.46,0.41,73.0,14.6,10.8,0.3,1.0,0.3,18349.0,16251.0,91.6,16090.0,13951.0,90.3
817,samsun,LADİK,33.69,33.07,1.23,2.69,16.79,8.84,0.17,0.52,1.44,0.47,68.4,26.2,4.9,0.5,52.18,19.56,16.0,9.53,1.45,0.71,0.26,0.27,68.9,20.5,9.0,0.2,1.1,0.2,13306.0,11526.0,89.0,13433.0,11678.0,90.1
818,samsun,SALIPAZARI,52.52,16.85,1.2,5.65,12.28,7.58,0.12,0.18,1.19,0.89,76.8,18.8,3.8,0.6,64.75,14.22,12.09,7.18,1.03,0.31,0.18,0.2,77.9,15.0,6.0,0.2,0.6,0.3,15619.0,13719.0,90.4,14442.0,12384.0,88.9
819,samsun,TEKKEKÖY,45.48,12.45,0.62,5.52,19.01,12.18,0.12,0.39,1.82,1.2,64.3,29.9,5.3,0.5,54.62,13.61,19.47,10.07,1.4,0.46,0.19,0.14,67.2,24.7,6.8,0.2,1.0,0.1,43343.0,38715.0,91.3,38119.0,33518.0,90.3
820,samsun,TERME,49.46,20.15,0.65,3.8,14.79,7.31,0.09,0.23,1.39,0.68,74.5,20.9,4.2,0.5,62.86,13.11,12.59,8.39,2.09,0.54,0.22,0.17,75.4,15.3,7.4,0.2,1.5,0.2,57367.0,49869.0,89.2,55684.0,47576.0,88.3
821,samsun,VEZİRKÖPRÜ,53.35,16.05,0.87,4.41,10.1,7.72,0.13,0.29,1.09,0.53,77.4,17.6,4.4,0.7,66.05,13.67,9.31,8.68,1.2,0.56,0.3,0.2,78.8,12.2,7.7,0.3,0.8,0.2,64759.0,55522.0,88.5,65400.0,56904.0,90.2
822,samsun,YAKAKENT,49.59,8.17,0.93,1.68,20.93,13.09,0.59,0.65,1.47,0.75,61.1,34.1,4.0,0.9,53.54,8.12,19.76,14.2,1.56,2.02,0.4,0.33,61.1,24.8,11.9,0.7,1.1,0.4,7132.0,6144.0,90.5,6679.0,5708.0,90.2
823,siirt,BAYKAN,38.87,5.21,0.45,1.54,7.49,1.54,42.37,0.0,0.0,0.48,47.5,50.5,1.6,0.5,39.46,4.7,2.55,1.2,1.1,50.1,0.34,0.53,44.9,6.0,0.9,46.9,1.0,0.2,15126.0,11554.0,79.3,14482.0,11143.0,80.0
824,siirt,ERUH,24.99,6.57,0.3,0.69,11.21,1.29,51.96,0.0,0.0,0.94,32.5,63.9,2.9,0.7,25.35,4.16,2.77,1.2,0.38,63.43,0.23,2.49,31.3,6.1,1.2,60.8,0.4,0.2,11004.0,8892.0,84.8,10574.0,8315.0,83.2
825,siirt,KURTALAN,24.8,1.47,0.15,1.07,5.71,1.43,62.9,0.0,0.0,0.32,28.4,70.2,1.0,0.3,25.38,1.91,1.39,0.65,0.72,68.97,0.12,0.86,27.0,4.1,0.5,67.6,0.7,0.1,37495.0,29022.0,80.2,34223.0,26973.0,81.1
826,siirt,MERKEZ,33.45,3.82,0.26,1.11,7.31,1.29,49.76,0.0,0.0,0.45,39.4,58.2,2.1,0.3,36.71,3.55,2.33,1.53,1.15,53.24,0.14,1.34,41.4,6.6,1.3,49.6,1.0,0.1,106632.0,87999.0,85.2,91019.0,76600.0,86.5
827,siirt,PERVARİ,50.31,2.5,0.37,1.56,10.17,2.05,30.57,0.0,0.0,0.59,56.1,41.5,1.9,0.5,55.6,2.58,1.72,3.88,0.52,33.93,0.39,1.39,60.3,3.6,3.7,31.9,0.4,0.1,16655.0,13038.0,82.3,15319.0,12459.0,84.6
828,siirt,ŞİRVAN,65.97,5.01,0.41,1.4,4.26,1.9,18.91,0.0,0.0,0.37,73.4,24.6,1.4,0.6,70.91,5.27,1.45,1.54,0.8,19.01,0.23,0.78,75.0,3.9,3.0,17.3,0.7,0.1,12249.0,9505.0,80.8,11568.0,9147.0,81.6
829,siirt,TİLLO,70.73,5.1,0.55,1.91,4.59,0.93,14.78,0.0,0.0,0.17,78.9,19.7,1.1,0.3,80.18,2.75,1.2,0.93,0.58,13.75,0.0,0.62,83.3,2.8,0.7,12.6,0.5,0.0,2692.0,2371.0,90.0,2579.0,2279.0,89.7
830,sinop,AYANCIK,42.22,13.98,1.9,1.61,26.66,7.37,0.34,1.07,1.31,0.83,60.6,34.4,4.3,0.7,58.01,5.78,27.23,6.2,0.99,1.06,0.43,0.3,60.8,31.7,5.9,0.4,0.8,0.4,19656.0,16241.0,85.4,18756.0,15507.0,85.6
831,sinop,BOYABAT,49.75,11.69,3.32,4.06,17.33,8.68,0.25,0.23,1.61,0.6,67.9,25.3,5.9,0.9,64.04,9.75,13.74,9.31,1.27,1.09,0.51,0.28,72.2,17.5,8.6,0.4,0.9,0.4,33933.0,28991.0,88.4,32646.0,27564.0,87.8
832,sinop,DİKMEN,59.43,8.62,2.45,2.66,12.86,6.72,0.03,0.39,1.36,0.7,76.9,18.2,3.2,1.7,70.16,6.08,12.91,5.72,1.02,1.32,1.96,0.84,77.4,15.3,5.0,0.8,0.5,1.1,4167.0,3327.0,84.1,4207.0,3292.0,84.4
833,sinop,DURAĞAN,55.33,5.07,21.0,2.49,8.4,3.59,0.26,0.13,0.87,0.33,81.2,13.9,4.2,0.7,72.53,11.3,6.71,6.69,1.09,0.64,0.66,0.37,83.4,8.9,6.3,0.4,0.7,0.3,12976.0,10902.0,87.6,13191.0,11061.0,87.8
834,sinop,ERFELEK,48.08,3.66,1.55,1.72,30.15,8.59,0.29,0.41,0.94,0.61,58.2,37.9,3.0,0.8,55.42,3.85,28.16,8.86,1.17,1.2,0.77,0.57,59.4,31.2,7.7,0.5,0.9,0.3,10563.0,8717.0,86.0,9581.0,7851.0,87.0
835,sinop,GERZE,43.41,8.23,3.64,2.12,27.81,7.88,0.3,0.82,1.76,1.04,58.6,35.0,5.5,0.9,53.7,5.82,25.38,10.52,1.22,2.23,0.73,0.4,58.7,29.3,9.7,0.7,1.0,0.6,23102.0,19521.0,88.1,19718.0,16480.0,87.8
836,sinop,MERKEZ,30.19,3.86,4.17,1.34,38.8,14.79,0.51,1.37,1.77,1.56,38.8,54.3,6.2,0.6,36.92,5.83,40.34,12.81,1.01,2.4,0.46,0.22,41.2,46.0,11.2,0.5,0.7,0.4,49981.0,44136.0,90.3,45729.0,39483.0,89.1
